5	0.1319	0.1044067366919715	0.0927	0.15198980228949574
10	0.1795	0.03148985727359067	0.1542	0.040397469667734824
15	0.2736	0.074060335763034	0.2883	0.06378792989273127
20	0.3791	0.17360136328189746	0.3842	0.16429837356333005
25	0.4935	0.19870986666774026	0.5501	0.20108895212484118
30	0.6487	0.27675422309334324	0.7129	0.2751381269269835
35	0.3591	0.1437648156616292	0.5026	0.10049787172981438
40	0.4052	0.14622266126242764	0.5223	0.14906676356585996
45	0.3606	0.12395267914275457	0.4039	0.15739013805050034
50	0.3051	0.10618584337534515	0.4645	0.11569043943981619
